Date,Description,Debit,Credit
2026-05-01,Acme Corp Payroll,,6200.00
2026-05-01,ACH Transfer From Savings,,1000.00
2026-05-01,May Rent - Parkside Apartments,2200.00,
2026-05-02,Whole Foods Market 10233,186.42,
2026-05-03,ConEd Electric Bill,121.45,
2026-05-04,Verizon Fios Internet,86.99,
2026-05-05,Shell Oil 554433,52.30,
2026-05-06,Trader Joe's #541,94.18,
2026-05-07,Starbucks Mobile Order,12.75,
2026-05-08,Uber Trip Help.uber.com,28.40,
2026-05-09,Blue Bottle Coffee Soma,18.60,
2026-05-10,Target T-2844,64.81,
2026-05-11,Amazon Marketplace,73.26,
2026-05-12,Netflix.com,22.99,
2026-05-13,Spotify USA,11.99,
2026-05-14,Delta Air Lines Business Trip,420.00,
2026-05-15,Marriott Marquis NYC,680.00,
2026-05-16,Splitwise Dinner Reimbursement Pending,150.00,
2026-05-17,Apple Store Work Monitor,399.00,
2026-05-18,ATM Withdrawal Main St,60.00,
2026-05-19,Equinox Gym Monthly,49.00,
2026-05-20,Doctor Copay Midtown Clinic,35.00,
2026-05-21,Vanguard Brokerage Contribution,500.00,
2026-05-22,Target Refund,,24.00
2026-05-23,Vanguard Dividend,,45.00
2026-05-24,Acme Corp Bonus,,750.00
